sep=;
name=asap_compat; type=backports; upstream_status=ignore;
name=mlx5_vf_roce_cmd; type=feature; upstream_status=sent;
name= tx_xdp_hw_checksum; type=feature; upstream_status=in_progress;
name=mlx5_ipsec; type=feature; upstream_status=in_progress;
name=mlx5_ipsec_full; type=feature; upstream_status=in_progress;
name=cyc2time_offload; type=feature; upstream_status=in_progress;
name=uplink_rep_redesign; type=feature; upstream_status=in_progress;
name=in_driver_xmit_more; type=feature; upstream_status=NA;
name=ipoib_genetlink; type=feature; upstream_status=NA;
name=tls_rx; type=feature; upstream_status=in_progress;
name=regex; type=feature; upstream_status=NA;
name=gds; type=feature; upstream_status=in_progress;
name=cqe_zipping; type=exp; upstream_status=NA;
name=depricated_nics; type=feature; upstream_status=NA;
name=ATS; type=feature; upstream_status=NA;
name=vport_match_control; type=feature; upstream_status=NA;
name=ct_nic_mode; type=feature; upstream_status=in_progress;
name=smp_mad_window; type=feature; upstream_status=NA;
name=sa_mad_cc; type=feature; upstream_status=NA;
name=hairpin_packet_pacing; type=feature; upstream_status=NA;
name=rdma_res_tracker; type=feature; upstream_status=accepted;
name=mlx5e_fec_modes; type=feature; upstream_status=accepted;
name=gen_ifc; type=feature; upstream_status=accepted;
name=mlx5_dump_me_now; type=feature; upstream_status=accepted;
name=devx; type=feature; upstream_status=accepted;
name=ktls; type=feature; upstream_status=accepted;
name=rdma_tx; type=feature; upstream_status=accepted;
name=mlx5_bf; type=feature; upstream_status=accepted;
name=ct_mt; type=feature; upstream_status=accepted;
name=ct_mirror; type=feature; upstream_status=in_progress;
name=mlx5e_fix_set_trust_state; type=feature; upstream_status=accepted;
name=mlx5_devlink_port; type=feature; upstream_status=accepted;
name=dct; type=feature; upstream_status=in_progress;
name=amd_sme; type=feature; upstream_status=NA;
name=query_gid_table; type=feature; upstream_status=accepted;
name=ib_isert_bugs; type=bug; upstream_status=in_progress;
name=e2e_cache; type=feature; upstream_status=NA;
name=tx_port_ts; type=feature; upstream_status=in_progress;
name=npps; type=feature; upstream_status=in_progress;
name=stack_devices; type=feature; upstream_status=in_progress;
name=sub_1_sec_fw_upgrade; type=feature; upstream_status=accepted;
name=internal_port; type=feature; upstream_status=in_progress;
